customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
af04232e6381929996a00d8b5f2d4c5e,339,1,18.17,2,3,1,"At Risk"
8a12fdc7884256c9bf8b7e3c48815268,351,1,18.17,2,4,1,"At Risk"
d27ab6c5d811cf06526972c02529c67d,326,1,18.17,2,3,1,"At Risk"
2a13e004f5fc69c2c5556546c972db9a,222,1,18.19,3,1,1,"New Customers"
c660b4750bea299993849b1b8d388687,497,1,18.19,1,2,1,"Lost Customers"
8262ee50c2b9961981a2825f2bd0663a,483,1,18.19,1,2,1,"Lost Customers"
f1847e1108766f3e77e212b82d2909e0,623,1,18.22,1,3,1,Others
deaf712a6d30217071ce4d2cf4e0ef79,68,1,18.23,4,1,1,"New Customers"
00cca8735b2e7b89dc267f378e5c9e8d,548,1,18.25,1,2,1,"Lost Customers"
f2efdcd71b76cfbb70c85f07a1c26144,545,1,18.25,1,2,1,"Lost Customers"
c181a7a0b04796669dea155c0f1db42c,65,1,18.28,4,1,1,"New Customers"
c1721aef018416169d2775808130c68a,69,1,18.29,4,1,1,"New Customers"
b498c982e3f7163502774d5d250b59d7,120,1,18.29,4,1,1,"New Customers"
d4d3ce7e6e51f287f5c2d896b0b07bae,81,1,18.29,4,1,1,"New Customers"
fb2112d2ad55c684bca971cc7c1f8c49,128,1,18.29,4,4,1,"Loyal Customers"
f8a3e963a310aa58b60a5b1fed5bceb5,176,1,18.30,3,4,1,"Loyal Customers"
e60d09530ea34dd2ad7a33d35bf73086,210,1,18.36,3,4,1,"Loyal Customers"
339cc367b01c54deced987c2bc258831,201,1,18.36,3,4,1,"Loyal Customers"
953e32cfaebff34e81c10e6cf53a5553,154,1,18.37,4,4,1,"Loyal Customers"
db21452b8ef7aa80cc62ff96bdcdf9c9,211,1,18.37,3,4,1,"Loyal Customers"
44901bf8569ad65849aa1b3d4325c6e1,190,1,18.38,3,4,1,"Loyal Customers"
1a9828af2c013e791ceb81f75343886a,218,1,18.38,3,1,1,"New Customers"
716c95338343be76a421f05145f6d9b7,358,1,18.38,2,4,1,"At Risk"
cbcaee49648cf4a8c49003733243adf5,91,1,18.39,4,1,1,"New Customers"
419fd4034de389a5bca6eded55d8a1c7,141,1,18.43,4,4,1,"Loyal Customers"
66a597c062ebee2684c57b26d28fc551,183,1,18.45,3,4,1,"Loyal Customers"
4a6ca65e203304ab05746357bc7b61e7,160,1,18.52,4,4,1,"Loyal Customers"
baa4ed05f22ffb6c4a41b71b699a492c,611,1,18.56,1,3,1,Others
39bd538ed7bcae4b7823d8083c413c77,449,1,18.59,1,3,1,Others
b9c71896b3982d887261350a516f5c8b,334,1,18.61,2,3,1,"At Risk"
4388a78467a347df7bae385d0cdd93bd,124,1,18.61,4,1,1,"New Customers"
4bb880cac21c7a9e1371ab1ebd601706,743,1,18.62,1,2,1,"Lost Customers"
937bb74713a47912471275b234236764,650,1,18.62,1,2,1,"Lost Customers"
a969b9f8d923bc7fd97b578f7c499194,650,1,18.62,1,2,1,"Lost Customers"
a4555d257db29ef5f838cec4101c5208,650,1,18.62,1,2,1,"Lost Customers"
42d857e22f61f10476f0cda1aacc018a,650,1,18.62,1,2,1,"Lost Customers"
c0352e94059e3e5a714c9ad0c8306a54,650,1,18.62,1,2,1,"Lost Customers"
fc30386d1f0ca6d7f48845275ac0cd23,650,1,18.62,1,2,1,"Lost Customers"
cba12036a88407a37770dc8ab725de77,650,1,18.62,1,2,1,"Lost Customers"
cd21b89339f05955972dc288787533d3,650,1,18.62,1,2,1,"Lost Customers"
d020d4abe6475a8382f53d763fe24a65,650,1,18.62,1,2,1,"Lost Customers"
ed1793d2d1e4175d5846ce7ebb4a01f5,650,1,18.62,1,2,1,"Lost Customers"
7d6183cbd401ec9c46de24fa02a1a48b,305,1,18.62,2,2,1,"At Risk"
be60de3949d43cd1799c3567eb6452b0,135,1,18.67,4,4,1,"Loyal Customers"
056de0008c4ab528f5631192e11fc745,135,1,18.67,4,4,1,"Loyal Customers"
